self previous shot,player position,home game,location x,opponent previous shot,home team,shot type,points,away team,location y,time,date,shoot player,time from last shot,quarter,current shot outcome
,SF,Yes,58,MISSED,BOS,Driving Layup,2,BRO,254,0:25,2016-10-26,Jae Crowder,,1,SCORED
SCORED,C,Yes,285,SCORED,BOS,Jump Shot,3,BRO,321,1:24,2016-10-26,Al Horford,59,1,SCORED
SCORED,SG,Yes,54,MISSED,BOS,Driving Finger Roll Layup,2,BRO,278,1:47,2016-10-26,Avery Bradley,23,1,MISSED
